,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,-0.00866,0.74898,0.08552,-0.00064
1,-0.00932,0.74898,0.11953,-0.00295
2,-0.00803,0.74898,0.10816,0.0072
3,-0.0171,0.74898,0.09765,0.00696
4,0.00258,0.74898,0.04758,0.00703
5,0.00189,0.74898,0.02257,0.0078
6,0.00355,0.74898,0.01985,0.0078
7,-0.00382,0.74898,0.02168,0.0035
8,0.00709,0.74894,0.01774,0.01074
9,-0.0095,0.74894,0.02585,0.01567
10,0.00778,0.74894,0.01428,0.00301
11,0.00026,0.74884,0.01399,0.00661
12,0.00062,0.74884,0.01564,0.00171
13,5e-05,0.74884,0.00639,0.00159
14,5e-05,0.74884,0.01122,0.00106
15,-0.00757,0.74884,0.00616,0.00087
16,-0.00133,0.74876,0.00547,0.00025
17,-0.016,0.74876,0.00482,0.00016
18,-0.01487,0.74876,0.0041,0.00025
19,-0.00391,0.74876,0.00459,0.00063
20,-0.01118,0.74876,-0.01102,1e-05
21,-0.01199,0.74876,-0.00919,1e-05
22,-0.01118,0.74876,-0.00075,0.01501
23,-0.01124,0.74876,-0.0085,1e-05
24,-0.01214,0.74876,-0.00703,0.01501
