Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop
1,fc1,0.08165273815393448,0.0,-0.0007374031974381426,0.7497887320196565
2,stage_1.0.conv_b,-0.06493093818426132,-1.0,0.07382126739485631,-0.07455867059229446
3,stage_1.0.conv_a,0.057596221566200256,0.0,0.07713599007276553,-0.003314722677909221
4,classifier,0.017216095700860023,0.0,0.08027362484984828,-0.0031376347770827456
5,stage_2.12.conv_b,-0.01057815458625555,-1.0,0.04084192271028847,0.03943170213955981
6,stage_2.12.conv_a,-0.024151647463440895,-1.0,0.019095371853708753,0.021746550856579717
7,stage_1.4.conv_b,0.07446043938398361,0.0,0.019980727771436824,-0.0008853559177280715
8,stage_1.4.conv_a,0.05023959279060364,0.0,0.020408226626074992,-0.00042749885463816764
9,stage_2.1.conv_b,0.11742261052131653,0.0,0.02241114544087943,-0.0020029188148044386
10,stage_2.1.conv_a,0.01794118992984295,0.0,0.021350144830348854,0.001061000610530577
11,stage_1.2.conv_b,0.11921479552984238,0.0,0.014372321855369748,0.006977822974979106
12,stage_1.2.conv_a,0.01599101722240448,0.0,0.02589642606282254,-0.011524104207452791
13,stage_2.8.conv_a,-0.029728615656495094,-1.0,0.032984599338062436,-0.0070881732752398965
14,stage_2.8.conv_b,0.015544946305453777,0.0,0.03279736077203416,0.00018723856602827216
15,stage_1.3.conv_b,-0.02663058415055275,-1.0,0.034715080626610266,-0.0019177198545761026
16,stage_1.3.conv_a,0.019172921776771545,0.0,0.03781260237128615,-0.0030975217446758824
17,stage_2.0.conv_b,-0.04786233603954315,-1.0,0.008735422989223657,0.02907717938206249
18,stage_2.0.conv_a,0.051069147884845734,0.0,0.022493847724022065,-0.013758424734798408
19,stage_1.15.conv_b,0.08598200976848602,0.0,0.026587754714173423,-0.004093906990151358
20,stage_1.15.conv_a,-0.09805888682603836,-1.0,0.013996608336909772,0.012591146377263652
