Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,fc1,0.08165273815393448,0.0,-0.00866,0.75785,0.03362,0.73331,0.06268,0.6477,0.01728,0.68225
2,stage_1.6.conv_a,0.011980622075498104,0.0,-0.00932,0.00066,0.03364,-2e-05,0.06011,0.00258,0.01959,-0.00232
3,stage_1.6.conv_b,-0.12509356439113617,-1.0,-0.00803,-0.00129,0.03311,0.00052,0.05958,0.00052,0.01891,0.00068
4,classifier,0.017216095700860023,0.0,-0.0171,0.00906,0.00866,0.02445,0.02929,0.03029,0.00618,0.01272
5,stage_3.1.conv_a,-0.030237194150686264,-1.0,0.00258,-0.01968,0.03016,-0.0215,0.04752,-0.01823,0.00556,0.00063
6,stage_3.1.conv_b,-0.0279693603515625,-1.0,0.00189,0.0007,0.0052,0.02496,0.02799,0.01952,0.0018,0.00375
7,stage_3.12.conv_a,0.023900263011455536,0.0,0.00355,-0.00166,0.00958,-0.00438,0.04073,-0.01274,0.00222,-0.00042
8,stage_1.4.conv_b,0.07446043938398361,0.0,-0.00382,0.00736,0.01158,-0.002,0.04187,-0.00114,0.00421,-0.002
9,stage_1.4.conv_a,0.05023959279060364,0.0,0.00709,-0.01091,0.00967,0.00191,0.04075,0.00111,0.00228,0.00193
10,stage_1.3.conv_b,-0.02663058415055275,-1.0,-0.0095,0.0166,0.01196,-0.00228,0.042,-0.00125,0.00452,-0.00224
11,stage_1.3.conv_a,0.019172921776771545,0.0,0.00778,-0.01728,0.01029,0.00166,0.0411,0.0009,0.00287,0.00165
12,stage_3.3.conv_a,-0.005106349475681782,-1.0,0.00026,0.00752,0.00475,0.00554,0.02775,0.01335,0.00137,0.0015
13,stage_3.3.conv_b,-0.0268341563642025,-1.0,0.00062,-0.00036,0.00915,-0.00439,0.04049,-0.01274,0.00179,-0.00042
14,stage_1.1.conv_a,-0.05140523239970207,-1.0,5e-05,0.00057,0.00925,-0.0001,0.04054,-4e-05,0.00187,-8e-05
15,stage_1.1.conv_b,0.008175474591553211,0.0,5e-05,0.0,0.00925,0.0,0.04054,0.0,0.00187,0.0
16,stage_1.10.conv_b,-0.049312662333250046,-1.0,-0.00757,0.00762,0.01014,-0.00089,0.04099,-0.00046,0.00273,-0.00086
17,stage_1.10.conv_a,-0.08816752582788467,-1.0,-0.00133,-0.00624,0.00929,0.00085,0.04055,0.00044,0.0019,0.00083
18,stage_1.2.conv_b,0.11921479552984238,0.0,-0.016,0.01466,0.00981,-0.00052,0.04081,-0.00025,0.00248,-0.00058
19,stage_1.2.conv_a,0.01599101722240448,0.0,-0.01487,-0.00113,0.00963,0.00017,0.04072,9e-05,0.0023,0.00018
20,stage_1.7.conv_b,0.06274354457855225,0.0,-0.00391,-0.01096,0.00821,0.00142,0.04,0.00072,0.00085,0.00145
21,stage_1.7.conv_a,-0.019329095259308815,-1.0,-0.01118,0.00727,0.00928,-0.00106,0.04055,-0.00055,0.00193,-0.00108
22,stage_1.9.conv_b,0.02233670838177204,0.0,-0.01199,0.00081,0.00884,0.00044,0.04032,0.00023,0.00152,0.00042
23,stage_1.9.conv_a,0.09817592799663544,0.0,-0.01118,-0.00081,0.00927,-0.00043,0.04054,-0.00022,0.00192,-0.00041
24,stage_3.5.conv_b,-0.00806585606187582,-1.0,-0.01124,6e-05,0.00892,0.00035,0.03999,0.00055,0.00156,0.00036
25,stage_3.5.conv_a,-0.004635180346667767,-1.0,-0.01214,0.0009,0.00848,0.00044,0.04014,-0.00015,0.00116,0.0004
