Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,fc1,0.08165,0.0,0.10214,0.64685,0.14292,0.62404,0.13364,0.5777,0.09427,0.60713
4,classifier,0.01722,0.0,0.09585,0.00628,0.13966,0.00327,0.12856,0.00508,0.09146,0.00281
6,stage_1.4.conv_b,0.07446,0.0,0.01371,0.08214,0.03503,0.10463,0.05756,0.07101,0.04566,0.04579
8,stage_1.0.conv_b,-0.06493,-1.0,-0.00501,0.01872,0.01975,0.01529,0.0482,0.00935,0.03136,0.0143
10,stage_1.0.conv_a,0.0576,0.0,-0.00595,0.00094,0.02337,-0.00362,0.05047,-0.00226,0.03435,-0.00299
12,stage_3.7.conv_a,0.0291,0.0,0.02073,-0.02668,0.01791,0.00546,0.04934,0.00112,0.03216,0.00219
14,stage_2.15.conv_b,-0.03726,-1.0,0.0126,0.00813,0.01104,0.00687,0.03492,0.01443,0.01461,0.01755
16,stage_2.15.conv_a,0.02247,0.0,0.00662,0.00599,0.00464,0.0064,0.02825,0.00667,0.00308,0.01153
18,stage_1.6.conv_a,0.01198,0.0,0.00488,0.00173,0.00443,0.00021,0.0279,0.00035,0.00223,0.00085
20,stage_1.6.conv_b,-0.12509,-1.0,0.00498,-0.0001,0.00444,-1e-05,0.028,-0.00011,0.00223,0.0
22,stage_3.0.conv_a,-0.04579,-1.0,0.00295,0.00204,0.00433,0.00011,0.02759,0.00041,0.00178,0.00045
24,stage_3.0.conv_b,0.01735,0.0,0.00295,-0.0,0.00433,0.0,0.02759,0.0,0.00178,0.0
26,stage_1.10.conv_b,-0.04931,-1.0,0.00451,-0.00156,0.00477,-0.00044,0.02783,-0.00024,0.00265,-0.00087
28,stage_1.10.conv_a,-0.08817,-1.0,0.00253,0.00198,0.00417,0.0006,0.02714,0.00069,0.0013,0.00135
30,stage_1.1.conv_b,0.00818,0.0,0.0065,-0.00397,0.00484,-0.00066,0.02808,-0.00094,0.00287,-0.00157
32,stage_1.1.conv_a,-0.05141,-1.0,0.00369,0.00281,0.00432,0.00051,0.02721,0.00086,0.00143,0.00144
34,stage_1.7.conv_b,0.06274,0.0,0.00376,-7e-05,0.0041,0.00022,0.02803,-0.00082,0.00157,-0.00014
36,stage_1.7.conv_a,-0.01933,-1.0,0.00294,0.00083,0.00422,-0.00012,0.02724,0.00079,0.00129,0.00028
38,stage_1.9.conv_b,0.02234,0.0,0.00171,0.00122,0.00393,0.00029,0.02748,-0.00024,0.00096,0.00033
40,stage_1.9.conv_a,0.09818,0.0,0.00336,-0.00165,0.00428,-0.00035,0.0275,-2e-05,0.00147,-0.0005
