Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,fc1,0.08165273815393448,0.0,-0.00064,0.74963,0.03799,0.72896,0.05204,0.6593,0.01294,0.68846
4,stage_1.6.conv_a,0.011980622075498104,0.0,-0.00295,0.0023,0.03117,0.00683,0.04818,0.00386,0.00608,0.00685
6,stage_1.6.conv_b,-0.12509356439113617,-1.0,0.0072,-0.01015,0.0309,0.00027,0.04776,0.00041,0.00536,0.00072
8,stage_1.5.conv_a,-0.0037636454217135906,-1.0,0.00696,0.00024,0.03081,9e-05,0.04781,-5e-05,0.00539,-2e-05
10,stage_1.5.conv_b,0.021224370226264,0.0,0.00703,-7e-05,0.0308,1e-05,0.0478,0.0,0.00538,1e-05
12,stage_1.4.conv_a,0.05023959279060364,0.0,0.0078,-0.00078,0.03076,5e-05,0.0477,0.0001,0.00525,0.00012
14,stage_1.4.conv_b,0.07446043938398361,0.0,0.0078,1e-05,0.03076,0.0,0.0477,0.0,0.00525,-0.0
16,stage_1.3.conv_b,-0.02663058415055275,-1.0,0.0035,0.00429,0.04001,-0.00926,0.05304,-0.00534,0.0141,-0.00884
18,stage_1.3.conv_a,0.019172921776771545,0.0,0.01074,-0.00724,0.03078,0.00923,0.0477,0.00533,0.00522,0.00888
20,stage_2.9.conv_b,-0.004957173950970173,-1.0,0.01567,-0.00493,0.08942,-0.05864,0.04781,-0.00011,0.01013,-0.00491
22,stage_2.9.conv_a,0.040659334510564804,0.0,0.00301,0.01266,0.08711,0.00231,0.04652,0.00129,0.00781,0.00232
24,stage_1.1.conv_b,0.008175474591553211,0.0,0.00661,-0.0036,0.088,-0.00089,0.04701,-0.00049,0.00882,-0.00101
26,stage_1.1.conv_a,-0.05140523239970207,-1.0,0.00171,0.0049,0.08696,0.00104,0.04637,0.00065,0.00757,0.00125
28,classifier,0.017216095700860023,0.0,0.00159,0.00013,0.08694,3e-05,0.04636,1e-05,0.00755,2e-05
30,stage_2.12.conv_b,-0.01057815458625555,-1.0,0.00106,0.00052,0.08687,6e-05,0.04633,3e-05,0.00748,6e-05
32,stage_2.12.conv_a,-0.024151647463440895,-1.0,0.00087,0.00019,0.08685,2e-05,0.04632,1e-05,0.00744,5e-05
34,stage_2.10.conv_b,-0.019358905032277107,-1.0,0.00025,0.00063,0.0868,6e-05,0.04629,3e-05,0.00738,6e-05
36,stage_1.10.conv_b,-0.049312662333250046,-1.0,0.00016,9e-05,0.0868,0.0,0.04629,0.0,0.00738,0.0
38,stage_1.10.conv_a,-0.08816752582788467,-1.0,0.00025,-9e-05,0.0868,0.0,0.04629,0.0,0.00738,-1e-05
40,stage_1.2.conv_b,0.11921479552984238,0.0,0.00063,-0.00039,0.0868,0.0,0.04629,0.0,0.00744,-6e-05
42,stage_1.2.conv_a,0.01599101722240448,0.0,1e-05,0.00063,0.0868,0.0,0.04629,0.0,0.00737,7e-05
44,stage_1.0.conv_a,0.057596221566200256,0.0,1e-05,0.0,0.0868,0.0,0.04629,0.0,0.00737,0.0
145,fc1,-1.0,0.0,0.01501,-0.01501,0.0885,-0.00171,0.04899,-0.0027,0.01237,-0.005
246,fc1,-1.0,0.0,1e-05,0.01501,0.0868,0.00171,0.04629,0.0027,0.00737,0.005
347,fc1,-1.0,0.0,0.01501,-0.01501,0.0885,-0.00171,0.04899,-0.0027,0.01237,-0.005
