,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.66127,0.42684,0.04576,0.36135
1,0.66127,0.04885,0.04576,0.36142
2,0.66127,0.04885,0.04576,0.37425
3,0.66127,0.04885,0.04576,0.31176
4,0.66127,0.04885,0.04576,0.31176
5,0.66127,0.02362,0.04576,0.31187
6,0.66127,0.02362,0.04576,0.06786
7,0.66127,0.02362,0.04576,0.06786
8,0.66127,0.05835,0.04576,0.06786
9,0.66127,0.11373,0.04576,-0.01804
10,0.66127,0.11544,-0.04205,-0.01804
11,0.66127,0.11544,-0.04205,-0.01804
12,0.66127,0.08466,-0.05347,-0.01804
13,0.66127,0.0844,-0.05347,-0.04172
14,0.66127,0.08453,-0.05347,-0.04172
15,0.66127,0.08453,-0.05347,-0.04172
16,0.66127,0.08453,-0.02131,-0.04172
17,0.66127,0.00131,-0.02131,-0.04171
18,0.66127,0.00131,-0.02131,-0.03726
19,0.66127,0.00131,-0.02131,-0.03726
20,0.66127,0.00132,-0.02131,-0.03726
21,0.66127,0.00132,-0.02131,-0.03726
22,0.66127,0.00132,-0.02131,-0.03726
23,0.66127,0.00132,-0.02131,-0.03726
24,0.66127,-0.00456,-0.02131,-0.03473
