Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.04576,0.66726,0.01236,0.71279,0.02723,0.5478,0.02757,0.48811
103,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
204,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
305,classifier,"tensor(-2049., device='cuda:0')","tensor(-2049., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
406,classifier,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
507,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
608,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
709,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
810,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
911,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.04576,0.0,0.01236,0.0,0.02723,0.0,0.02757,0.0
1012,classifier,"tensor(8192., device='cuda:0')","tensor(8192., device='cuda:0')",-0.04205,0.08782,0.00039,0.01197,0.00147,0.02576,0.00024,0.02733
1113,classifier,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",-0.04205,0.0,0.00039,0.0,0.00147,0.0,0.00024,0.0
1214,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",-0.05347,0.01142,0.00039,0.0,0.00147,0.0,0.00024,-0.0
1315,classifier,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",-0.05347,0.0,0.00039,0.0,0.00147,0.0,0.00024,0.0
1416,classifier,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",-0.05347,0.0,0.00039,0.0,0.00147,0.0,0.00024,0.0
1517,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",-0.05347,0.0,0.00039,0.0,0.00147,0.0,0.00024,0.0
1618,classifier,"tensor(32767., device='cuda:0')","tensor(32767., device='cuda:0')",-0.02131,-0.03216,0.0239,-0.02352,0.04481,-0.04334,0.00559,-0.00534
1719,classifier,"tensor(-4097., device='cuda:0')","tensor(-4097., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
1820,classifier,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
1921,classifier,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
2022,classifier,"tensor(-257., device='cuda:0')","tensor(-257., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
2123,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
2224,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
2325,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
2426,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",-0.02131,0.0,0.0239,0.0,0.04481,0.0,0.00559,0.0
