Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,classifier,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.71302,-0.0,0.72515,0.0,0.5749,0.00013,0.51564,4e-05
2,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.55079,0.16223,0.5546,0.17055,0.39738,0.17752,0.33983,0.17581
3,classifier,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.55079,0.0,0.5546,0.0,0.39738,0.0,0.33983,0.0
4,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.09144,0.45934,0.05779,0.4968,0.12029,0.27709,0.08924,0.25059
5,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.09144,0.0,0.05779,0.0,0.12029,0.0,0.08924,0.0
6,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.02152,0.06993,0.01415,0.04365,0.02786,0.09243,0.02533,0.06391
7,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.00016,0.02135,0.00056,0.01359,0.00391,0.02395,0.00148,0.02385
8,classifier,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.0408,-0.04064,0.02841,-0.02785,0.04301,-0.0391,0.01511,-0.01363
9,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.0408,0.0,0.02841,0.0,0.04301,0.0,0.01511,0.0
10,classifier,"tensor(-4097., device='cuda:0')","tensor(-4097., device='cuda:0')",0.0408,0.0,0.02841,0.0,0.04301,0.0,0.01511,0.0
11,classifier,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.0408,0.0,0.02841,0.0,0.04301,0.0,0.01511,0.0
12,classifier,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.0408,0.0,0.02841,0.0,0.04301,0.0,0.01511,0.0
13,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.03437,0.00643,0.0285,-9e-05,0.04315,-0.00014,0.01541,-0.0003
14,classifier,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.03437,0.0,0.0285,0.0,0.04315,0.0,0.01541,0.0
15,classifier,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.03437,0.0,0.0285,0.0,0.04315,0.0,0.01541,0.0
16,classifier,"tensor(32767., device='cuda:0')","tensor(32767., device='cuda:0')",0.03445,-8e-05,0.02864,-0.00014,0.04577,-0.00262,0.01702,-0.0016
17,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.03445,0.0,0.02864,0.0,0.04577,0.0,0.01702,0.0
18,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.03445,-0.0,0.02864,0.0,0.04575,2e-05,0.01702,-1e-05
19,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.03445,0.0,0.02864,0.0,0.04575,0.0,0.01702,0.0
20,classifier,"tensor(256., device='cuda:0')","tensor(256., device='cuda:0')",0.03445,0.0,0.02864,0.0,0.04575,0.0,0.01702,0.0
