Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
101,classifier,0.041750308126211166,0.0,0.36135,0.35167,0.32921,0.39594,0.21113,0.3639,0.2099,0.30578
202,classifier,No attack,No attack,0.36142,-7e-05,0.32934,-0.00013,0.2112,-7e-05,0.20995,-5e-05
303,classifier,No attack,No attack,0.37425,-0.01283,0.33935,-0.01001,0.2147,-0.00351,0.21181,-0.00186
404,classifier,No attack,No attack,0.31176,0.06249,0.28961,0.04974,0.17647,0.03823,0.17425,0.03756
505,classifier,No attack,No attack,0.31176,0.0,0.28961,0.0,0.17647,0.0,0.17425,0.0
606,classifier,No attack,No attack,0.31187,-0.00011,0.2897,-9e-05,0.17649,-1e-05,0.17426,-2e-05
707,classifier,No attack,No attack,0.06786,0.24401,0.07174,0.21796,0.09759,0.0789,0.09929,0.07498
808,classifier,No attack,No attack,0.06786,0.0,0.07174,0.0,0.09759,0.0,0.09929,0.0
909,classifier,No attack,No attack,0.06786,0.0,0.07174,0.0,0.09759,0.0,0.09929,0.0
1010,classifier,No attack,No attack,-0.01804,0.0859,0.03047,0.04127,0.07701,0.02058,0.07658,0.02271
1111,classifier,No attack,No attack,-0.01804,0.0,0.03047,0.0,0.07701,0.0,0.07658,0.0
1212,classifier,No attack,No attack,-0.01804,0.0,0.03047,0.0,0.07701,0.0,0.07658,0.0
1313,classifier,No attack,No attack,-0.01804,0.0,0.03047,0.0,0.07701,0.0,0.07658,0.0
1414,classifier,No attack,No attack,-0.04172,0.02368,0.00016,0.03031,0.00148,0.07552,4e-05,0.07654
1515,classifier,No attack,No attack,-0.04172,0.0,0.00016,0.0,0.00148,0.0,4e-05,0.0
1616,classifier,No attack,No attack,-0.04172,0.0,0.00016,0.0,0.00148,0.0,4e-05,0.0
1717,classifier,No attack,No attack,-0.04172,0.0,0.00016,0.0,0.00148,0.0,4e-05,0.0
1818,classifier,No attack,No attack,-0.04171,-1e-05,0.00016,0.0,0.00148,1e-05,4e-05,0.0
1919,classifier,No attack,No attack,-0.03726,-0.00445,0.00013,3e-05,0.00121,0.00026,0.00012,-8e-05
2020,classifier,No attack,No attack,-0.03726,0.0,0.00013,0.0,0.00121,0.0,0.00012,0.0
2121,classifier,No attack,No attack,-0.03726,0.0,0.00013,0.0,0.00121,0.0,0.00012,0.0
2222,classifier,No attack,No attack,-0.03726,0.0,0.00013,0.0,0.00121,0.0,0.00012,0.0
2323,classifier,No attack,No attack,-0.03726,0.0,0.00013,0.0,0.00121,0.0,0.00012,0.0
2424,classifier,No attack,No attack,-0.03726,0.0,0.00013,0.0,0.00121,0.0,0.00012,0.0
2525,classifier,No attack,No attack,-0.03473,-0.00253,0.00011,2e-05,0.00107,0.00014,2e-05,0.0001
