Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,fc1,0.03274692967534065,0.0,-0.21642,1.10058,0.36819,0.56332,0.13662,0.70107,0.12495,0.71967
2,stage_1.3.conv_a,0.07188814878463745,0.0,-0.04297,-0.17345,0.56404,-0.19585,0.19319,-0.05657,0.14908,-0.02413
3,stage_1.2.conv_a,-0.05724647268652916,-1.0,-0.02212,-0.02085,0.57405,-0.01001,0.19616,-0.00297,0.14981,-0.00073
4,stage_1.2.conv_b,-0.02593262307345867,-1.0,-0.02191,-0.0002,0.57412,-7e-05,0.19617,-0.0,0.14979,2e-05
5,stage_1.3.conv_b,-0.019291214644908905,-1.0,-0.02185,-6e-05,0.57413,-2e-05,0.19617,-1e-05,0.14979,-0.0
6,stage_1.1.conv_a,-0.13580064475536346,-1.0,-0.03299,0.01114,0.57224,0.00189,0.19653,-0.00035,0.15113,-0.00133
7,stage_1.1.conv_b,-0.026626121252775192,-1.0,-0.03299,-1e-05,0.57224,0.0,0.19653,0.0,0.15113,0.0
8,stage_1.0.conv_b,-0.01038560550659895,-1.0,-0.00613,-0.02686,0.57103,0.00121,0.20052,-0.00399,0.1589,-0.00777
9,stage_1.0.conv_a,-0.038033582270145416,-1.0,0.00336,-0.00949,0.58789,-0.01686,0.20132,-0.0008,0.15186,0.00703
10,stage_3.15.conv_a,0.04614387825131416,0.0,0.01174,-0.00838,0.58915,-0.00126,0.2017,-0.00038,0.15196,-0.0001
11,stage_3.15.conv_b,0.01714775152504444,0.0,0.0113,0.00044,0.58915,0.0,0.20169,1e-05,0.15192,4e-05
12,stage_1.4.conv_b,0.01233765110373497,0.0,0.01258,-0.00128,0.58924,-9e-05,0.20188,-0.00019,0.15231,-0.00039
13,stage_1.4.conv_a,0.04252193123102188,0.0,0.01141,0.00118,0.58915,9e-05,0.2017,0.00018,0.15196,0.00035
14,stage_1.5.conv_a,-0.14814108610153198,-1.0,0.01095,0.00046,0.58908,7e-05,0.20171,-1e-05,0.15201,-5e-05
15,stage_1.5.conv_b,-0.0025323231238871813,-1.0,0.01076,0.00019,0.58912,-3e-05,0.20167,4e-05,0.15191,0.0001
16,stage_2.3.conv_a,0.06607116758823395,0.0,0.00918,0.00158,0.58869,0.00043,0.20165,2e-05,0.15207,-0.00016
17,stage_2.3.conv_b,-0.10004846006631851,-1.0,0.00434,0.00483,0.58927,-0.00058,0.20032,0.00133,0.14908,0.00299
18,stage_2.15.conv_b,0.0006503759068436921,0.0,0.00101,0.00334,0.58914,0.00014,0.20021,0.00011,0.14889,0.00019
19,stage_2.15.conv_a,-0.05873865634202957,-1.0,0.00462,-0.00361,0.58927,-0.00014,0.20032,-0.00011,0.14909,-0.0002
20,stage_2.6.conv_b,-0.04360276833176613,-1.0,0.00063,0.00399,0.58941,-0.00014,0.20007,0.00025,0.14846,0.00063
21,stage_1.7.conv_b,0.24895140528678894,0.0,0.00029,0.00034,0.58943,-2e-05,0.20001,6e-05,0.1483,0.00016
22,fc1,1.0,-127.0,-7e-05,0.00037,0.58941,2e-05,0.19999,2e-05,0.14826,4e-05
24,fc1,-1.0,127.0,0.05617,-0.05625,0.58941,0.0,0.19999,0.0,0.14956,-0.00131
24,No module attacked,No attack,No attack,0.05617,0.0,0.58941,0.0,0.19999,0.0,0.14956,0.0
24,No module attacked,No attack,No attack,0.05617,0.0,0.58941,0.0,0.19999,0.0,0.14956,0.0
