Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop
2,stage_3.6.conv_b,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.06819281451591737,0.8234747677254376
4,stage_3.2.conv_b,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",-0.010963633755396194,0.07915644827131356
6,stage_1.3.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.04134816670428555,-0.05231180045968174
8,stage_2.10.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.04042058888840115,0.0009275778158844006
10,stage_1.1.conv_a,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.04621949171329109,-0.005798902824889936
12,stage_1.2.conv_b,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.035192728825452074,0.011026762887839013
14,stage_2.10.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.035000188112823696,0.0001925407126283779
16,stage_2.1.conv_a,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",-0.0036454384236609674,0.038645626536484665
18,stage_2.10.conv_a,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.001880807646558099,-0.005526246070219066
20,stage_3.0.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.1186144028228085,-0.1167335951762504
22,stage_3.6.conv_a,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.10217026500675713,0.016444137816051363
24,stage_3.10.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.10300248223834131,-0.0008322172315841786
26,stage_3.2.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.10213454223687941,0.0008679400014618976
28,stage_3.0.conv_a,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.10248284088237486,-0.00034829864549544565
30,stage_2.0.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.016192110631023805,0.08629073025135106
32,stage_3.13.conv_a,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.007717320742003526,0.00847478988902028
34,stage_2.3.conv_a,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.01661257431455077,-0.008895253572547243
36,stage_2.13.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.01639164162272789,0.0002209326918228803
38,stage_1.8.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.01639164162272789,0.0
40,stage_1.9.conv_a,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.013771090773054585,0.002620550849673303
