Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,stage_3.1.conv_b,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.89167,0.0,0.93589,0.0,0.857,0.0,0.86104,0.0
2,stage_1.14.conv_a,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.89167,0.0,0.93589,0.0,0.857,0.0,0.86104,0.0
3,stage_1.8.conv_b,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.89167,0.0,0.93589,0.0,0.857,0.0,0.86104,0.0
4,stage_2.13.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.89167,0.0,0.93589,0.0,0.857,0.0,0.86104,0.0
5,stage_1.3.conv_a,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.89155,0.00011,0.93582,7e-05,0.85692,8e-05,0.86093,0.00011
6,stage_2.13.conv_a,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
7,stage_2.9.conv_b,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
8,stage_3.11.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
9,stage_1.12.conv_b,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
10,stage_2.6.conv_b,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
11,stage_1.6.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
12,stage_3.8.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
13,stage_1.1.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
14,stage_1.1.conv_b,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.89155,0.0,0.93582,0.0,0.85692,0.0,0.86093,0.0
15,stage_1.10.conv_a,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.89158,-3e-05,0.93584,-2e-05,0.85695,-3e-05,0.86095,-2e-05
16,stage_3.0.conv_a,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.89158,0.0,0.93584,0.0,0.85695,0.0,0.86095,0.0
17,stage_3.15.conv_b,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.88704,0.00454,0.93366,0.00218,0.83644,0.02051,0.85497,0.00597
18,stage_3.0.conv_b,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.88704,0.0,0.93366,0.0,0.83644,0.0,0.85497,0.0
19,stage_3.5.conv_b,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.88704,0.0,0.93366,0.0,0.83644,0.0,0.85497,0.0
20,stage_3.1.conv_b,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.88704,0.0,0.93366,0.0,0.83644,0.0,0.85497,0.0
21,stage_1.13.conv_b,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.88704,0.0,0.93366,0.0,0.83644,0.0,0.85497,0.0
22,stage_1.7.conv_a,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.88704,0.0,0.93366,0.0,0.83644,0.0,0.85497,0.0
23,stage_3.6.conv_b,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.88701,2e-05,0.93364,2e-05,0.83649,-4e-05,0.85495,2e-05
24,stage_2.6.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.88701,0.0,0.93364,0.0,0.83649,0.0,0.85495,0.0
25,stage_1.2.conv_b,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.88657,0.00044,0.93338,0.00026,0.83614,0.00035,0.85452,0.00044
