Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop
2,fc1,0.03274692967534065,0.0,-0.20333170905492173,1.0949992912962767
4,stage_1.3.conv_a,0.07188814878463745,0.0,-0.027242527648833528,-0.1760891814060882
6,stage_1.2.conv_a,-0.05724647268652916,-1.0,-0.016493228609974552,-0.010749299038858975
8,stage_1.2.conv_b,-0.02593262307345867,-1.0,-0.03877692414706031,0.02228369553708576
10,stage_1.3.conv_b,-0.019291214644908905,-1.0,-0.03877692414706031,0.0
12,stage_1.1.conv_a,-0.13580064475536346,-1.0,0.036566053157553395,-0.0753429773046137
14,stage_1.1.conv_b,-0.026626121252775192,-1.0,0.03653636163194336,2.969152561003302e-05
16,stage_1.0.conv_b,-0.01038560550659895,-1.0,0.06250985648585469,-0.02597349485391133
18,stage_1.0.conv_a,-0.038033582270145416,-1.0,0.03622808748219979,0.0262817690036549
20,stage_3.5.conv_a,-0.021892275661230087,-1.0,0.027240338049949787,0.008987749432250006
22,stage_3.5.conv_b,-0.0966065302491188,-1.0,0.026881784704632986,0.0003585533453168005
24,stage_1.4.conv_b,0.01233765110373497,0.0,0.02702158235625686,-0.00013979765162387345
26,stage_1.4.conv_a,0.04252193123102188,0.0,0.02688974540327359,0.00013183695298326845
28,stage_3.6.conv_a,-0.0022465582005679607,-1.0,0.026531836401218246,0.0003579090020553455
30,stage_3.6.conv_b,0.007351463194936514,0.0,0.026607909205026502,-7.607280380825601e-05
32,stage_2.3.conv_a,0.06607116758823395,0.0,0.026987450884326383,-0.00037954167929988084
34,stage_2.3.conv_b,-0.10004846006631851,-1.0,0.010522363328772592,0.01646508755555379
36,stage_2.15.conv_b,0.0006503759068436921,0.0,0.01968534234674772,-0.009162979017975127
38,stage_2.15.conv_a,-0.05873865634202957,-1.0,0.01656048027754617,0.00312486206920155
40,stage_1.5.conv_a,-0.14814108610153198,-1.0,0.015269565166164172,0.0012909151113819975
