Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,fc1,0.03274692967534065,0.0,-0.20333,1.095,0.36635,0.56954,0.1399,0.7171,0.12879,0.73225
4,stage_1.3.conv_a,0.07188814878463745,0.0,-0.02724,-0.17609,0.5679,-0.20155,0.1952,-0.0553,0.15098,-0.02219
6,stage_1.2.conv_a,-0.05724647268652916,-1.0,-0.01917,-0.00807,0.57466,-0.00676,0.19648,-0.00127,0.15014,0.00084
8,stage_1.2.conv_b,-0.02593262307345867,-1.0,-0.01939,0.00022,0.5747,-3e-05,0.19648,-1e-05,0.15012,2e-05
10,stage_1.3.conv_b,-0.019291214644908905,-1.0,-0.01939,0.0,0.5747,0.0,0.19648,0.0,0.15012,0.0
12,stage_1.1.conv_a,-0.13580064475536346,-1.0,-0.02511,0.00573,0.57476,-7e-05,0.19747,-0.00099,0.15168,-0.00156
14,stage_1.1.conv_b,-0.026626121252775192,-1.0,-0.02519,8e-05,0.57473,3e-05,0.19746,1e-05,0.15167,1e-05
16,stage_1.0.conv_b,-0.01038560550659895,-1.0,-0.00392,-0.02127,0.56911,0.00562,0.20163,-0.00416,0.16133,-0.00966
18,stage_1.0.conv_a,-0.038033582270145416,-1.0,0.004,-0.00792,0.58786,-0.01875,0.20136,0.00027,0.15195,0.00938
20,stage_3.15.conv_a,0.04614387825131416,0.0,0.01109,-0.00709,0.58907,-0.00121,0.20157,-0.00022,0.15174,0.00021
22,stage_3.15.conv_b,0.01714775152504444,0.0,0.011,9e-05,0.58908,-2e-05,0.20158,-1e-05,0.15174,0.0
24,stage_1.4.conv_b,0.01233765110373497,0.0,0.01126,-0.00026,0.5891,-2e-05,0.20163,-5e-05,0.15184,-0.0001
26,stage_1.4.conv_a,0.04252193123102188,0.0,0.01101,0.00026,0.58908,2e-05,0.20157,6e-05,0.15171,0.00013
28,stage_1.5.conv_a,-0.14814108610153198,-1.0,0.01166,-0.00065,0.58905,3e-05,0.20166,-9e-05,0.15193,-0.00022
30,stage_1.5.conv_b,-0.0025323231238871813,-1.0,0.01165,1e-05,0.58907,-2e-05,0.20167,-1e-05,0.15193,-0.0
32,stage_2.3.conv_a,0.06607116758823395,0.0,0.00899,0.00266,0.58839,0.00068,0.20148,0.00019,0.15188,5e-05
34,stage_2.3.conv_b,-0.10004846006631851,-1.0,0.00368,0.00531,0.58929,-0.0009,0.20022,0.00125,0.14885,0.00303
36,stage_2.15.conv_b,0.0006503759068436921,0.0,0.0001,0.00358,0.58915,0.00014,0.2001,0.00013,0.14863,0.00022
38,stage_2.15.conv_a,-0.05873865634202957,-1.0,0.00354,-0.00345,0.58927,-0.00012,0.20022,-0.00012,0.14885,-0.00022
40,stage_1.7.conv_b,0.24895140528678894,0.0,0.00202,0.00153,0.58941,-0.00014,0.19999,0.00023,0.14828,0.00057
42,stage_2.6.conv_b,-0.04360276833176613,-1.0,-7e-05,0.00209,0.58941,0.0,0.19999,0.0,0.14826,3e-05
44,fc1,1.0,-127.0,-7e-05,0.0,0.58941,0.0,0.19999,0.0,0.14826,0.0
48,fc1,0.0,64.0,0.03305,-0.03312,0.58941,0.0,0.19999,0.0,0.14882,-0.00057
49,No module attacked,No attack,No attack,0.03305,0.0,0.58941,0.0,0.19999,0.0,0.14882,0.0
50,No module attacked,No attack,No attack,0.03305,0.0,0.58941,0.0,0.19999,0.0,0.14882,0.0
