,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.8092,0.0,0.8092,0.32629
1,0.8092,0.10052,0.35775,0.32629
2,0.8092,0.17634,0.34715,0.06995
3,0.8092,0.18624,0.34715,0.03451
4,0.8092,0.18624,0.34743,0.03451
5,0.8092,0.18624,0.34766,0.03458
6,0.8092,0.1863,0.34766,0.03726
7,0.8092,0.1863,0.32565,0.03721
8,0.8092,0.18435,0.33982,0.03721
9,0.8092,0.18435,0.34052,-0.14033
10,0.8092,0.18435,0.34052,-0.14035
11,0.8092,0.18435,0.34052,-0.14035
12,0.8092,0.18435,0.34052,-0.14035
13,0.8092,0.18435,0.30847,-0.14035
14,0.8092,0.1844,0.30864,-0.14035
15,0.8092,0.1844,-0.01498,-0.14035
16,0.8092,0.1844,-0.01498,-0.14035
17,0.8092,0.1844,-0.01498,-0.14035
18,0.8092,0.18435,-0.01498,-0.14035
19,0.8092,0.18456,-0.01503,-0.13883
20,0.8092,0.1856,-0.01503,-0.13883
21,0.8092,0.1856,-6e-05,-0.13883
22,0.8092,0.1856,-6e-05,-0.13883
23,0.8092,0.1856,-6e-05,-0.13883
24,0.8092,0.1856,-6e-05,-0.12938
