Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop
2,classifier,"tensor(-257., device='cuda:0')","tensor(-257., device='cuda:0')",0.8091980662278,-0.0007077578694656417
103,classifier,"tensor(-129., device='cuda:0')","tensor(-129., device='cuda:0')",0.8084187699787438,0.0007792962490561495
204,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.8084187699787438,0.0
305,classifier,"tensor(-2049., device='cuda:0')","tensor(-2049., device='cuda:0')",0.8084187699787438,0.0
406,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.8084187699787438,0.0
507,classifier,"tensor(-32768., device='cuda:0')","tensor(-32768., device='cuda:0')",0.7060408527101777,0.10237791726856615
608,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.7060408527101777,0.0
709,classifier,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.7060408527101777,0.0
810,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",0.20054451944631524,0.5054963332638625
911,classifier,"tensor(-4097., device='cuda:0')","tensor(-4097., device='cuda:0')",0.20054451944631524,0.0
1012,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.20054451944631524,0.0
1113,classifier,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.20054451944631524,0.0
1214,classifier,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.20054451944631524,0.0
1315,classifier,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.13596576310606134,0.0645787563402539
1416,classifier,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.13596576310606134,0.0
1517,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.13596576310606134,0.0
1618,classifier,"tensor(-4097., device='cuda:0')","tensor(-4097., device='cuda:0')",0.13565487638494467,0.0003108867211166766
1719,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.13565487638494467,0.0
1820,classifier,"tensor(-257., device='cuda:0')","tensor(-257., device='cuda:0')",0.13565487638494467,0.0
1921,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",0.13504418070530833,0.0006106956796363416
