Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.8092,-0.00071,0.88916,-0.00039,0.65853,-0.00215,0.66355,-0.00216
103,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.35775,0.45144,0.58435,0.30481,0.28865,0.36988,0.20995,0.4536
204,classifier,"tensor(8192., device='cuda:0')","tensor(8192., device='cuda:0')",0.34715,0.0106,0.59968,-0.01533,0.25475,0.0339,0.2008,0.00916
305,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.34715,0.0,0.59968,0.0,0.25475,0.0,0.2008,0.0
406,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.34743,-0.00028,0.59969,-2e-05,0.25516,-0.00041,0.20095,-0.00015
507,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.34766,-0.00022,0.59969,0.0,0.25516,0.0,0.20097,-3e-05
608,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.34766,0.0,0.59969,0.0,0.25516,0.0,0.20097,0.0
709,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.32565,0.02201,0.58587,0.01383,0.22911,0.02605,0.21445,-0.01348
810,classifier,"tensor(512., device='cuda:0')","tensor(512., device='cuda:0')",0.33982,-0.01417,0.59213,-0.00627,0.24921,-0.0201,0.2229,-0.00844
911,classifier,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.34052,-0.0007,0.59242,-0.00029,0.2502,-0.001,0.22323,-0.00033
1012,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.34052,0.0,0.59242,0.0,0.2502,0.0,0.22323,0.0
1113,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.34052,0.0,0.59242,0.0,0.2502,0.0,0.22323,0.0
1214,classifier,"tensor(8192., device='cuda:0')","tensor(8192., device='cuda:0')",0.34052,0.0,0.59242,0.0,0.2502,0.0,0.22323,0.0
1315,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.30847,0.03205,0.59242,0.0,0.25016,5e-05,0.22609,-0.00286
1416,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.30864,-0.00017,0.59251,-9e-05,0.25039,-0.00024,0.22617,-8e-05
1517,classifier,"tensor(-32768., device='cuda:0')","tensor(-32768., device='cuda:0')",-0.01498,0.32362,0.06001,0.5325,0.22517,0.02522,0.03999,0.18618
1618,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",-0.01498,0.0,0.06001,0.0,0.22517,0.0,0.03999,0.0
1719,classifier,"tensor(-129., device='cuda:0')","tensor(-129., device='cuda:0')",-0.01498,0.0,0.06001,0.0,0.22517,0.0,0.03999,0.0
1820,classifier,"tensor(-8193., device='cuda:0')","tensor(-8193., device='cuda:0')",-0.01498,0.0,0.06001,0.0,0.22517,0.0,0.03999,0.0
1921,classifier,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",-0.01503,5e-05,0.05997,3e-05,0.22514,3e-05,0.03994,4e-05
2022,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",-0.01503,0.0,0.05997,0.0,0.22514,0.0,0.03994,0.0
2123,classifier,"tensor(8192., device='cuda:0')","tensor(8192., device='cuda:0')",-6e-05,-0.01497,0.05124,0.00874,0.2,0.02514,0.01944,0.0205
2224,classifier,"tensor(256., device='cuda:0')","tensor(256., device='cuda:0')",-6e-05,0.0,0.05124,0.0,0.2,0.0,0.01944,0.0
2325,classifier,"tensor(-129., device='cuda:0')","tensor(-129., device='cuda:0')",-6e-05,0.0,0.05124,0.0,0.2,0.0,0.01944,0.0
2426,classifier,"tensor(-8193., device='cuda:0')","tensor(-8193., device='cuda:0')",-6e-05,0.0,0.05124,0.0,0.2,0.0,0.01944,0.0
