Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,classifier,"tensor(-32768., device='cuda:0')","tensor(-32768., device='cuda:0')",0.0,0.80849,0.09459,0.79418,0.2,0.45638,0.03447,0.62692
2,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.10052,-0.10052,0.20848,-0.11389,0.20975,-0.00975,0.11247,-0.07799
3,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.17634,-0.07582,0.23402,-0.02554,0.29965,-0.0899,0.13239,-0.01992
4,classifier,"tensor(8192., device='cuda:0')","tensor(8192., device='cuda:0')",0.18624,-0.00989,0.21871,0.01531,0.23256,0.06709,0.17165,-0.03926
5,classifier,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.18624,0.0,0.21871,0.0,0.23256,0.0,0.17165,0.0
6,classifier,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.18624,0.0,0.21871,0.0,0.23256,0.0,0.17165,0.0
7,classifier,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.1863,-6e-05,0.21871,0.0,0.23256,0.0,0.1717,-5e-05
8,classifier,"tensor(-1025., device='cuda:0')","tensor(-1025., device='cuda:0')",0.1863,0.0,0.21871,0.0,0.23256,0.0,0.1717,0.0
9,classifier,"tensor(512., device='cuda:0')","tensor(512., device='cuda:0')",0.18435,0.00195,0.21797,0.00075,0.23085,0.00171,0.17103,0.00067
10,classifier,"tensor(-1025., device='cuda:0')","tensor(-1025., device='cuda:0')",0.18435,0.0,0.21797,0.0,0.23085,0.0,0.17103,0.0
11,classifier,"tensor(256., device='cuda:0')","tensor(256., device='cuda:0')",0.18435,0.0,0.21797,0.0,0.23085,0.0,0.17103,0.0
12,classifier,"tensor(128., device='cuda:0')","tensor(128., device='cuda:0')",0.18435,0.0,0.21797,0.0,0.23085,0.0,0.17103,0.0
13,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.18435,0.0,0.21797,0.0,0.23085,0.0,0.17103,0.0
14,classifier,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.18435,0.0,0.21797,0.0,0.23085,0.0,0.17103,0.0
15,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.1844,-5e-05,0.21797,0.0,0.23085,0.0,0.17107,-4e-05
16,classifier,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.1844,0.0,0.21797,0.0,0.23085,0.0,0.17107,0.0
17,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.1844,0.0,0.21797,0.0,0.23085,0.0,0.17107,0.0
18,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.1844,0.0,0.21797,0.0,0.23085,0.0,0.17107,0.0
19,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.18435,5e-05,0.21795,2e-05,0.2308,5e-05,0.17106,1e-05
20,classifier,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.18456,-0.0002,0.21802,-7e-05,0.23097,-0.00017,0.17114,-8e-05
21,classifier,"tensor(-257., device='cuda:0')","tensor(-257., device='cuda:0')",0.1856,-0.00104,0.21802,0.0,0.23097,0.0,0.17196,-0.00082
22,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.1856,0.0,0.21802,0.0,0.23097,0.0,0.17196,0.0
23,classifier,"tensor(-1025., device='cuda:0')","tensor(-1025., device='cuda:0')",0.1856,0.0,0.21802,0.0,0.23097,0.0,0.17196,0.0
24,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.1856,0.0,0.21802,0.0,0.23097,0.0,0.17196,0.0
25,classifier,"tensor(-1025., device='cuda:0')","tensor(-1025., device='cuda:0')",0.1856,0.0,0.21802,0.0,0.23097,0.0,0.17196,0.0
