Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop
101,classifier,0.05701085925102234,0.0,0.8091980662278,-0.0007077578694656417
202,classifier,No attack,No attack,0.41775579914601474,0.39144226708178526
303,classifier,No attack,No attack,0.41775579914601474,0.0
404,classifier,No attack,No attack,0.41833044653735313,-0.0005746473913383898
505,classifier,No attack,No attack,0.41833044653735313,0.0
606,classifier,No attack,No attack,0.41833044653735313,0.0
707,classifier,No attack,No attack,0.41833044653735313,0.0
808,classifier,No attack,No attack,0.41833044653735313,0.0
909,classifier,No attack,No attack,0.41833044653735313,0.0
1010,classifier,No attack,No attack,0.41833044653735313,0.0
1111,classifier,No attack,No attack,0.402408799259048,0.01592164727830514
1212,classifier,No attack,No attack,0.6741902339541136,-0.2717814346950656
1313,classifier,No attack,No attack,0.6742214763148023,-3.124236068874353e-05
1414,classifier,No attack,No attack,0.6549298088116623,0.019291667503140042
1515,classifier,No attack,No attack,0.6549298088116623,0.0
1616,classifier,No attack,No attack,0.6555879408493945,-0.0006581320377322397
1717,classifier,No attack,No attack,0.6549542394232303,0.0006337014261642571
1818,classifier,No attack,No attack,0.6549542394232303,0.0
1919,classifier,No attack,No attack,0.6537669742251577,0.0011872651980725513
2020,classifier,No attack,No attack,0.6537669742251577,0.0
