Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
101,classifier,0.05701085925102234,0.0,0.32629,0.4822,0.50547,0.3833,0.30985,0.34653,0.20105,0.46034
202,classifier,No attack,No attack,0.32629,0.0,0.50547,0.0,0.30985,0.0,0.20105,0.0
303,classifier,No attack,No attack,0.06995,0.25634,0.07055,0.43493,0.2596,0.05025,0.10506,0.09599
404,classifier,No attack,No attack,0.03451,0.03543,0.07458,-0.00404,0.26487,-0.00526,0.05364,0.05142
505,classifier,No attack,No attack,0.03451,0.0,0.07458,0.0,0.26487,0.0,0.05364,0.0
606,classifier,No attack,No attack,0.03458,-7e-05,0.07462,-3e-05,0.26498,-0.00012,0.05367,-3e-05
707,classifier,No attack,No attack,0.03726,-0.00267,0.07583,-0.00121,0.26971,-0.00473,0.05502,-0.00135
808,classifier,No attack,No attack,0.03721,4e-05,0.07581,2e-05,0.26964,7e-05,0.055,2e-05
909,classifier,No attack,No attack,0.03721,0.0,0.07581,0.0,0.26964,0.0,0.055,0.0
1010,classifier,No attack,No attack,-0.14033,0.17755,0.01463,0.06118,0.03601,0.23362,0.01011,0.04489
1111,classifier,No attack,No attack,-0.14035,1e-05,0.01463,0.0,0.03601,0.0,0.01011,0.0
1212,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1313,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1414,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1515,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1616,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1717,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1818,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
1919,classifier,No attack,No attack,-0.14035,0.0,0.01463,0.0,0.03601,0.0,0.01011,0.0
2020,classifier,No attack,No attack,-0.13883,-0.00152,0.01521,-0.00058,0.03818,-0.00216,0.01088,-0.00077
2121,classifier,No attack,No attack,-0.13883,0.0,0.01521,0.0,0.03818,0.0,0.01088,0.0
2222,classifier,No attack,No attack,-0.13883,0.0,0.01521,0.0,0.03818,0.0,0.01088,0.0
2323,classifier,No attack,No attack,-0.13883,0.0,0.01521,0.0,0.03818,0.0,0.01088,0.0
2424,classifier,No attack,No attack,-0.13883,0.0,0.01521,0.0,0.03818,0.0,0.01088,0.0
2525,classifier,No attack,No attack,-0.12938,-0.00945,0.01517,3e-05,0.03807,0.00011,0.01561,-0.00473
