Bit Counter,Module,Weight Before Attack,Weight After Attack,Validation,MCC Drop,Attack Scenario
1,classifier,-0.052048854529857635,-1.0,0.8322258586152549,-4.2708152647397135e-05,PBS
101,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
201,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
301,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
401,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
501,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
601,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
701,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
801,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
901,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1001,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1101,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1201,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1301,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1401,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1501,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1601,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1701,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1801,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
1901,classifier,No attack,No attack,0.8322258586152549,0.0,PBS
101,classifier,"tensor(-1025., device='cuda:0')","tensor(-1025., device='cuda:0')",0.8322258586152549,-4.2708152647397135e-05,PBS_to_RandomFlip
202,classifier,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.8322258586152549,0.0,PBS_to_RandomFlip
303,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.8321313615228639,9.449709239095494e-05,PBS_to_RandomFlip
404,classifier,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.8321313615228639,0.0,PBS_to_RandomFlip
505,classifier,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.8321313615228639,0.0,PBS_to_RandomFlip
606,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.8322060375006678,-7.467597780386193e-05,PBS_to_RandomFlip
707,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.8322060375006678,0.0,PBS_to_RandomFlip
