,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.5193,0.0,1.4343,1.4343
1,0.0,0.0,0.10223,0.10223
2,0.0,0.0,-0.09673,-0.09661
3,0.05618,0.0,0.11346,0.11334
4,-0.05234,0.66888,-0.09271,-0.09269
5,0.07916,0.0,-0.00522,-0.00524
6,0.33587,0.0,0.00116,0.00116
7,0.01847,0.0,-0.25919,-0.26008
8,-0.40432,0.0,0.00016,0.00069
9,0.43744,0.0,-0.10121,-0.10086
10,0.00895,0.0,-0.00067,-0.00067
11,-0.34198,0.0,-0.09744,0.02786
12,0.29089,0.0,0.00072,-0.12327
13,0.05109,0.0,-0.00071,0.10317
14,-0.03194,0.0,0.00013,-0.00913
15,0.03207,0.0,0.0,0.0204
16,-0.04958,0.0,0.00057,-0.0191
17,0.04945,0.0,-0.00193,0.00236
18,-0.03498,0.0,0.00015,-0.00236
19,0.03407,0.0,0.0,0.0
20,-0.00255,0.0,0.00153,-0.00246
21,0.00315,0.0,0.0,0.00471
22,0.0,0.0,0.0,-0.03575
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,-0.00125
30,0.0,0.0,-0.0,0.0
31,0.0,0.0,0.12713,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
