,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,-0.25795,0.99885,-0.40677,0.47937
1,-0.19926,0.99885,-0.44461,0.47941
2,-0.29732,0.99885,-0.11792,0.47941
3,-0.1857,0.99885,-0.22443,0.33385
4,-0.24489,0.99885,-0.17467,0.44784
5,-0.21127,0.99871,-0.12345,0.31334
6,-0.23382,0.99871,-0.11986,0.05022
7,-0.23391,0.99871,0.00428,0.00245
8,-0.1309,0.22903,0.00337,0.00245
9,-0.23365,0.22903,0.00296,0.0
10,-0.23308,0.22903,0.00208,0.0
11,-0.23085,0.2247,0.00208,0.0
12,-0.23086,0.2247,0.00189,0.0
13,-0.23086,0.2247,0.00189,0.0
14,-0.23087,0.2247,0.00189,0.0
15,-0.04556,0.2247,0.0,0.0
16,-0.04556,0.2247,0.00211,0.0
17,-0.03919,0.22546,0.00703,0.0
18,-0.03919,0.2247,0.00138,0.0
19,0.0,0.22529,0.00138,0.0
20,-0.0581,0.22529,0.00446,0.0
21,-0.02792,0.22529,-0.00401,0.0
22,-0.02792,0.22529,-0.001,0.0
23,-0.02792,0.22529,-0.001,0.0
24,-0.02792,0.22529,-0.001,0.0
