Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,fc1,-0.07137838006019592,-1.0,-0.59154,1.59013,0.03526,0.96454,0.28721,0.69965,0.15043,0.83499
2,stage_1.4.conv_b,0.03963833674788475,0.0,-0.71665,0.12511,0.02669,0.00857,0.14467,0.14254,0.02959,0.12084
3,stage_1.4.conv_a,0.0990050733089447,0.0,-0.65565,-0.061,0.03286,-0.00618,0.16963,-0.02496,0.02256,0.00703
4,stage_1.11.conv_a,0.03768591955304146,0.0,-0.65161,-0.00404,0.03326,-0.00039,0.17189,-0.00227,0.02281,-0.00025
5,stage_1.1.conv_b,0.042514216154813766,0.0,-0.91708,0.26547,0.00396,0.0293,0.01649,0.1554,0.00276,0.02005
6,stage_1.1.conv_a,0.1738622635602951,0.0,-0.64707,-0.27001,0.03369,-0.02974,0.17422,-0.15774,0.02309,-0.02033
7,stage_1.3.conv_b,0.07162212580442429,0.0,-0.29868,-0.34839,0.05871,-0.02502,0.31237,-0.13814,0.03942,-0.01634
8,stage_1.3.conv_a,0.060846004635095596,0.0,0.00021,-0.29889,0.06644,-0.00772,0.35411,-0.04174,0.04406,-0.00464
9,stage_1.10.conv_b,0.29612576961517334,0.0,-0.00122,0.00143,0.06636,7e-05,0.35396,0.00015,0.044,6e-05
10,stage_1.10.conv_a,0.25023430585861206,0.0,0.00021,-0.00143,0.06644,-7e-05,0.35411,-0.00015,0.04406,-6e-05
11,stage_2.6.conv_a,-0.09982743114233017,-1.0,0.0,0.00021,0.06639,5e-05,0.35409,2e-05,0.04402,4e-05
12,stage_1.11.conv_b,-0.1007443442940712,-1.0,0.0,0.0,0.06639,0.0,0.35409,0.0,0.04402,0.0
13,stage_3.15.conv_a,0.05801462382078171,0.0,0.0,0.0,0.00016,0.06622,0.01039,0.3437,9e-05,0.04393
14,stage_2.6.conv_b,-0.018460441380739212,-1.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
15,stage_2.8.conv_b,-0.04730720445513725,-1.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
16,stage_2.8.conv_a,0.12192142754793167,0.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
17,stage_1.8.conv_b,0.016782989725470543,0.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
18,stage_1.8.conv_a,-0.09058684855699539,-1.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
19,stage_1.0.conv_b,0.14123958349227905,0.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
20,stage_1.7.conv_b,-0.35408419370651245,-1.0,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
