Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,fc1,0.15830862522125244,0.0,-0.25795,1.25666,0.02125,0.97856,0.08831,0.89869,0.09897,0.88722
2,stage_1.3.conv_b,0.19835829734802246,0.0,-0.19926,-0.0587,0.00611,0.01514,0.1314,-0.04309,0.00432,0.09465
3,stage_1.3.conv_a,-0.029603876173496246,-1.0,-0.29732,0.09806,0.00324,0.00287,0.1055,0.0259,0.00352,0.0008
4,stage_1.0.conv_b,-0.0820150151848793,-1.0,-0.1857,-0.11162,0.00514,-0.0019,0.10301,0.00249,0.00346,5e-05
5,stage_1.0.conv_a,-0.08158757537603378,-1.0,-0.24489,0.05919,0.00304,0.0021,0.10857,-0.00556,0.004,-0.00054
6,stage_1.1.conv_b,0.055164091289043427,0.0,-0.21127,-0.03361,0.00306,-2e-05,0.11046,-0.0019,0.00201,0.00199
7,stage_1.1.conv_a,-0.304162859916687,-1.0,-0.23382,0.02255,0.00325,-0.00019,0.11523,-0.00477,0.00463,-0.00262
8,stage_3.4.conv_a,0.09469401091337204,0.0,-0.23391,9e-05,0.00323,2e-05,0.1146,0.00063,0.00374,0.0009
9,stage_2.15.conv_b,-0.0816044732928276,-1.0,-0.1309,-0.10301,0.00463,-0.0014,0.17715,-0.06255,0.00417,-0.00044
10,stage_2.15.conv_a,0.012338772416114807,0.0,-0.23365,0.10275,0.00323,0.0014,0.1146,0.06255,0.00374,0.00044
11,stage_1.7.conv_b,0.06977822631597519,0.0,-0.23308,-0.00057,0.00313,0.0001,0.11488,-0.00028,0.00205,0.00169
12,stage_1.7.conv_a,-0.1516924649477005,-1.0,-0.23085,-0.00223,0.00339,-0.00026,0.12128,-0.0064,0.00334,-0.00129
13,stage_1.14.conv_a,-0.1044519767165184,-1.0,-0.23086,0.0,0.00339,0.0,0.12136,-8e-05,0.00304,0.0003
14,stage_1.14.conv_b,0.03062480501830578,0.0,-0.23086,0.0,0.00339,0.0,0.12136,0.0,0.00304,0.0
15,stage_3.5.conv_b,0.06856580823659897,0.0,-0.23087,2e-05,0.00339,1e-05,0.12083,0.00053,0.00258,0.00046
16,stage_3.5.conv_a,0.060478731989860535,0.0,-0.04556,-0.18531,0.00662,-0.00324,0.25545,-0.13462,0.00467,-0.00208
17,stage_3.4.conv_b,-0.030917320400476456,-1.0,-0.04556,0.0,0.00662,0.0,0.25545,0.0,0.00467,0.0
18,stage_3.12.conv_a,-0.04257046803832054,-1.0,-0.03919,-0.00637,0.00044,0.00618,0.01398,0.24147,0.00056,0.00411
19,stage_3.12.conv_b,-0.02156982384622097,-1.0,-0.03919,0.0,0.00044,0.0,0.01398,0.0,0.00056,0.0
20,stage_1.4.conv_b,-0.06725040823221207,-1.0,0.0,-0.03919,0.00024,0.0002,0.01634,-0.00236,0.00013,0.00043
21,stage_1.4.conv_a,-0.026200927793979645,-1.0,-0.0581,0.0581,0.00024,1e-05,0.01121,0.00513,0.00042,-0.00029
35,fc1,-1.0,127.0,-0.02792,-0.03018,0.00529,-0.00505,0.01473,-0.00352,0.004,-0.00358
35,No module attacked,No attack,No attack,-0.02792,0.0,0.00529,0.0,0.01473,0.0,0.004,0.0
35,No module attacked,No attack,No attack,-0.02792,0.0,0.00529,0.0,0.01473,0.0,0.004,0.0
35,No module attacked,No attack,No attack,-0.02792,0.0,0.00529,0.0,0.01473,0.0,0.004,0.0
