Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,stage_2.8.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",-0.24973,1.24858,0.16714,0.8327,0.37696,0.61147,0.30375,0.68413
4,stage_2.13.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",-0.2862,0.03647,0.16317,0.00396,0.35602,0.02094,0.30119,0.00256
6,stage_2.0.conv_b,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",-0.05265,-0.23355,0.18527,-0.0221,0.41566,-0.05964,0.2379,0.06329
8,stage_3.4.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",-0.19201,0.13937,0.13134,0.05393,0.32094,0.09471,0.16215,0.07576
10,stage_2.9.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",-0.10513,-0.08689,0.17954,-0.04819,0.36693,-0.04598,0.21407,-0.05192
12,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",0.05667,-0.1618,0.10375,0.07579,0.06701,0.29992,0.08963,0.12443
14,stage_3.0.conv_a,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.02971,0.02696,0.09819,0.00556,0.04251,0.02451,0.0475,0.04213
16,stage_1.14.conv_a,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.0,0.02971,0.00024,0.09794,0.01634,0.02617,0.00013,0.04737
18,stage_3.1.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
20,stage_3.9.conv_a,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
22,stage_1.11.conv_a,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
24,stage_2.14.conv_b,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
26,stage_2.13.conv_b,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
28,stage_3.5.conv_a,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
30,stage_1.12.conv_b,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
32,stage_3.8.conv_b,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
34,stage_2.3.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
36,stage_3.15.conv_b,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
41,stage_3.15.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
42,stage_2.15.conv_a,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
43,stage_3.8.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
44,stage_2.2.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
45,stage_2.4.conv_b,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
46,fc1,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
47,stage_3.8.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
48,classifier,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
