Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,stage_1.11.conv_a,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
2,stage_1.10.conv_a,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
3,stage_2.10.conv_a,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
4,stage_2.13.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
5,stage_2.0.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
6,stage_3.11.conv_a,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
7,stage_2.7.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
8,stage_1.3.conv_a,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
9,stage_3.10.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
10,stage_2.1.conv_b,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.99859,0.0,0.9998,0.0,0.9864,0.0,0.98498,0.0
11,stage_1.9.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.67796,0.32063,0.9534,0.0464,0.55759,0.42881,0.58765,0.39733
12,stage_2.8.conv_b,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.67796,0.0,0.9534,0.0,0.55759,0.0,0.58765,0.0
13,stage_1.14.conv_b,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.67796,0.0,0.9534,0.0,0.55759,0.0,0.58765,0.0
14,stage_3.3.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.67796,0.0,0.9534,0.0,0.55759,0.0,0.58765,0.0
15,stage_3.12.conv_b,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.67786,9e-05,0.95339,1e-05,0.55753,6e-05,0.58758,7e-05
16,stage_1.6.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.67786,0.0,0.95339,0.0,0.55753,0.0,0.58758,0.0
17,stage_3.7.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.67786,0.0,0.95339,0.0,0.55753,0.0,0.58758,0.0
18,stage_3.2.conv_b,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.67786,0.0,0.95339,0.0,0.55753,0.0,0.58758,0.0
19,stage_3.3.conv_a,"tensor(-17., device='cuda:0')","tensor(-17., device='cuda:0')",0.67786,0.0,0.95339,0.0,0.55753,0.0,0.58758,0.0
20,stage_2.13.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.67786,0.0,0.95339,0.0,0.55753,0.0,0.58758,0.0
