Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,stage_1.2.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.99885,0.0,0.99984,0.0,0.98843,0.0,0.98788,0.0
2,stage_1.13.conv_a,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.99885,0.0,0.99984,0.0,0.98843,0.0,0.98788,0.0
3,stage_2.9.conv_b,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.99885,0.0,0.99984,0.0,0.98843,0.0,0.98788,0.0
4,stage_3.7.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.99885,0.0,0.99984,0.0,0.98843,0.0,0.98788,0.0
5,stage_2.10.conv_b,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.99885,0.0,0.99984,0.0,0.98843,0.0,0.98788,0.0
6,classifier,"tensor(8., device='cuda:0')","tensor(8., device='cuda:0')",0.99871,0.00014,0.99981,2e-05,0.987,0.00143,0.98619,0.00169
7,stage_3.0.conv_a,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.99871,0.0,0.99981,0.0,0.987,0.0,0.98619,0.0
8,stage_3.10.conv_b,"tensor(-33., device='cuda:0')","tensor(-33., device='cuda:0')",0.99871,0.0,0.99981,0.0,0.987,0.0,0.98619,0.0
9,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.22903,0.76968,0.01697,0.98284,0.25226,0.73474,0.26921,0.71698
10,stage_1.14.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.22903,0.0,0.01697,0.0,0.25226,0.0,0.26921,0.0
11,stage_2.2.conv_b,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.22903,0.0,0.01697,0.0,0.25226,0.0,0.26921,0.0
12,stage_3.7.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.2247,0.00433,0.01636,0.00061,0.24986,0.0024,0.26569,0.00352
13,stage_3.11.conv_a,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.2247,0.0,0.01636,0.0,0.24986,0.0,0.26569,0.0
14,stage_2.10.conv_b,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.2247,0.0,0.01636,0.0,0.24986,0.0,0.26569,0.0
15,stage_2.7.conv_a,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.2247,0.0,0.01636,0.0,0.24986,0.0,0.26569,0.0
16,stage_1.2.conv_b,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.2247,0.0,0.01636,0.0,0.24986,0.0,0.26569,0.0
17,stage_1.4.conv_b,"tensor(32., device='cuda:0')","tensor(32., device='cuda:0')",0.2247,0.0,0.01636,0.0,0.24986,0.0,0.26569,0.0
18,stage_3.14.conv_a,"tensor(-65., device='cuda:0')","tensor(-65., device='cuda:0')",0.22546,-0.00076,0.01647,-0.00011,0.2503,-0.00044,0.2663,-0.00061
19,stage_3.7.conv_a,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.2247,0.00076,0.01636,0.00011,0.24986,0.00044,0.26569,0.00061
20,stage_3.3.conv_a,"tensor(16., device='cuda:0')","tensor(16., device='cuda:0')",0.22529,-0.00059,0.01644,-9e-05,0.2502,-0.00034,0.26617,-0.00048
21,stage_3.6.conv_a,"tensor(127., device='cuda:0')","tensor(127., device='cuda:0')",0.22529,0.0,0.01644,0.0,0.2502,0.0,0.26617,0.0
22,stage_1.6.conv_a,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",0.22529,0.0,0.01644,0.0,0.2502,0.0,0.26617,0.0
23,stage_3.10.conv_b,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.22529,0.0,0.01644,0.0,0.2502,0.0,0.26617,0.0
24,stage_2.1.conv_a,"tensor(-128., device='cuda:0')","tensor(-128., device='cuda:0')",0.22529,0.0,0.01644,0.0,0.2502,0.0,0.26617,0.0
25,stage_2.3.conv_a,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",0.22529,0.0,0.01644,0.0,0.2502,0.0,0.26617,0.0
