Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
2,stage_2.12.conv_a,-0.07700608670711517,-1.0,0.47937,0.51948,0.07325,0.92659,0.60386,0.38458,0.34352,0.64436
4,stage_2.12.conv_b,-0.011341782286763191,-1.0,0.47941,-4e-05,0.07325,0.0,0.60413,-0.00027,0.3437,-0.00018
6,stage_3.4.conv_a,0.09469401091337204,0.0,0.47941,0.0,0.07325,0.0,0.60413,0.0,0.3437,0.0
8,stage_3.12.conv_b,-0.02156982384622097,-1.0,0.33385,0.14557,0.04663,0.02662,0.15965,0.44448,0.17157,0.17213
10,stage_3.12.conv_a,-0.04257046803832054,-1.0,0.44784,-0.11399,0.05991,-0.01328,0.25549,-0.09584,0.25157,-0.08
12,stage_3.4.conv_b,-0.030917320400476456,-1.0,0.31334,0.1345,0.03073,0.02918,0.14112,0.11437,0.16729,0.08429
14,stage_2.13.conv_a,-0.05107001215219498,-1.0,0.05022,0.26312,0.00229,0.02844,0.0286,0.11252,0.0189,0.14838
16,stage_2.13.conv_b,-0.06960902363061905,-1.0,0.00245,0.04776,0.00033,0.00196,0.02091,0.00769,0.0047,0.01421
18,stage_1.9.conv_b,-0.01931581273674965,-1.0,0.00245,0.0,0.00033,0.0,0.02091,0.0,0.0047,0.0
20,stage_1.9.conv_a,0.0800207257270813,0.0,0.0,0.00245,0.00024,9e-05,0.01634,0.00457,0.00013,0.00457
22,stage_1.3.conv_b,0.19835829734802246,0.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
24,fc1,0.15830862522125244,0.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
26,stage_1.0.conv_a,-0.08158757537603378,-1.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
28,stage_1.0.conv_b,-0.0820150151848793,-1.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
30,stage_1.7.conv_b,0.06977822631597519,0.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
32,stage_1.7.conv_a,-0.1516924649477005,-1.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
34,stage_1.1.conv_b,0.055164091289043427,0.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
36,stage_1.1.conv_a,-0.304162859916687,-1.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
38,stage_1.4.conv_b,-0.06725040823221207,-1.0,0.0,0.0,0.00024,0.0,0.01634,0.0,0.00013,0.0
40,stage_2.2.conv_b,0.03294070065021515,0.0,0.0,-0.0,0.00024,0.0,0.01618,0.00015,0.00013,0.0
42,fc1,0.0,-128.0,0.0,0.0,0.00016,8e-05,0.01039,0.00579,9e-05,4e-05
43,No module attacked,No attack,No attack,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
44,No module attacked,No attack,No attack,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
45,No module attacked,No attack,No attack,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
46,No module attacked,No attack,No attack,0.0,0.0,0.00016,0.0,0.01039,0.0,9e-05,0.0
