,PBS,RandomFlip,PBS_to_RandomFlip,RandomFlip_to_PBS
0,0.99796,-0.04419,0.99786,0.99796
1,0.99796,-0.04419,0.54492,0.99105
2,0.99796,-0.04419,0.13443,0.99796
3,0.99796,-0.04419,0.13443,0.99796
4,0.99796,-0.04419,0.13443,0.99782
5,0.99796,-0.04419,0.13519,0.99782
6,0.99796,-0.0891,0.13519,0.99782
7,0.99796,-0.0891,0.13519,0.99782
8,0.99796,-0.0891,0.13465,0.2622
9,0.99796,0.36344,0.13465,0.2622
10,0.99796,0.36344,0.13465,0.2622
11,0.99796,0.36344,0.13465,0.26222
12,0.99796,0.36344,0.13465,0.26222
13,0.99796,0.36029,0.13395,0.26222
14,0.99796,0.36029,0.13395,0.26222
15,0.99796,0.36029,0.13395,0.26222
16,0.99796,0.36029,0.00065,0.2622
17,0.99796,0.36029,0.00065,0.2622
18,0.99796,0.36029,-0.00039,0.2626
19,0.99796,0.36029,-0.00039,0.2626
20,0.99796,0.35912,-0.00039,0.2626
21,0.99796,0.35912,-0.00038,0.2626
22,0.99796,0.40422,-0.00038,0.2626
23,0.99796,0.40422,-0.00038,0.2626
24,0.99796,0.40451,-0.00038,0.2626
