Bit Counter,Module,Weight Before Attack,Weight After Attack,MCC,MCC Drop,ACC,ACC Drop,TPR,TPR Drop,F1-score,F1-score Drop
1,classifier,"tensor(32767., device='cuda:0')","tensor(32767., device='cuda:0')",-0.04419,1.04215,0.00014,0.99959,0.00864,0.97121,0.0008,0.97823
2,classifier,"tensor(1024., device='cuda:0')","tensor(1024., device='cuda:0')",-0.04419,0.0,0.00014,0.0,0.00864,0.0,0.0008,0.0
3,classifier,"tensor(-3., device='cuda:0')","tensor(-3., device='cuda:0')",-0.04419,0.0,0.00014,0.0,0.00864,0.0,0.0008,0.0
4,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",-0.04419,0.0,0.00014,0.0,0.00864,0.0,0.0008,0.0
5,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",-0.04419,0.0,0.00014,0.0,0.00864,0.0,0.0008,0.0
6,classifier,"tensor(-2., device='cuda:0')","tensor(-2., device='cuda:0')",-0.04419,0.0,0.00014,0.0,0.00864,0.0,0.0008,0.0
7,classifier,"tensor(512., device='cuda:0')","tensor(512., device='cuda:0')",-0.0891,0.04491,0.00014,1e-05,0.00841,0.00023,0.00081,-1e-05
8,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",-0.0891,0.0,0.00014,0.0,0.00841,0.0,0.00081,0.0
9,classifier,"tensor(-8193., device='cuda:0')","tensor(-8193., device='cuda:0')",-0.0891,0.0,0.00014,0.0,0.00841,0.0,0.00081,0.0
10,classifier,"tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",0.36344,-0.45254,0.06652,-0.06639,0.33266,-0.32425,0.33209,-0.33128
11,classifier,"tensor(-257., device='cuda:0')","tensor(-257., device='cuda:0')",0.36344,0.0,0.06652,0.0,0.33266,0.0,0.33209,0.0
12,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.36344,0.0,0.06652,0.0,0.33266,0.0,0.33209,0.0
13,classifier,"tensor(2048., device='cuda:0')","tensor(2048., device='cuda:0')",0.36344,0.0,0.06652,0.0,0.33266,0.0,0.33209,0.0
14,classifier,"tensor(64., device='cuda:0')","tensor(64., device='cuda:0')",0.36029,0.00315,0.06631,0.00021,0.32462,0.00804,0.32447,0.00762
15,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
16,classifier,"tensor(-2049., device='cuda:0')","tensor(-2049., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
17,classifier,"tensor(-5., device='cuda:0')","tensor(-5., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
18,classifier,"tensor(-16385., device='cuda:0')","tensor(-16385., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
19,classifier,"tensor(16384., device='cuda:0')","tensor(16384., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
20,classifier,"tensor(4., device='cuda:0')","tensor(4., device='cuda:0')",0.36029,0.0,0.06631,0.0,0.32462,0.0,0.32447,0.0
21,classifier,"tensor(-513., device='cuda:0')","tensor(-513., device='cuda:0')",0.35912,0.00118,0.06619,0.00012,0.32188,0.00274,0.32197,0.0025
22,classifier,"tensor(2., device='cuda:0')","tensor(2., device='cuda:0')",0.35912,0.0,0.06619,0.0,0.32188,0.0,0.32197,0.0
23,classifier,"tensor(4096., device='cuda:0')","tensor(4096., device='cuda:0')",0.40422,-0.0451,0.06619,-1e-05,0.26012,0.06176,0.26031,0.06166
24,classifier,"tensor(-9., device='cuda:0')","tensor(-9., device='cuda:0')",0.40422,0.0,0.06619,0.0,0.26012,0.0,0.26031,0.0
25,classifier,"tensor(32767., device='cuda:0')","tensor(32767., device='cuda:0')",0.40451,-0.00029,0.06619,0.0,0.26012,0.0,0.26031,0.0
